Latitude,Longitude,VelDown,IAS,Altitude,Energy,AccelZ
0.663264,-2.12967,-2.38,31.44,917.96,968.392,-10.17
0.663269,-2.12968,-2.19,30.2,920.71,967.243,-9.97
0.663275,-2.12969,-1.93,29.23,923.44,967.031,-10.17
0.663281,-2.12969,-1.97,28.35,926.26,967.266,-10.135
0.663285,-2.1297,-2.19,27.43,929.47,967.858,-9.94
0.663285,-2.12968,-2.17,26.61,934.52,970.647,-9.76
0.663289,-2.12969,-2.04,25.88,937.08,971.252,-9.805
0.663293,-2.12969,-2.18,25.25,940.09,972.619,-9.765
0.663296,-2.12969,-2.51,24.74,943.63,974.858,-9.68
0.6633,-2.1297,-2.54,24.22,946.81,976.739,-9.625
0.663304,-2.1297,-2.48,23.82,949.71,978.659,-9.625
0.663306,-2.12971,-2.32,23.56,952.42,980.74,-9.815
0.663309,-2.12971,-2.24,23.42,954.82,982.805,-9.97
0.663312,-2.12972,-2.18,23.42,957.04,985.025,-9.865
0.663305,-2.12972,-2.03,23.28,958.65,986.301,-9.87
0.663307,-2.12973,-2.13,23.42,960.86,988.845,-9.845
0.66331,-2.12973,-2.08,23.28,962.68,990.331,-9.88
0.663309,-2.12974,-1.73,23.28,964.1,991.751,-9.955
0.66331,-2.12974,-1.3,23.56,964.77,993.09,-10.62
0.663311,-2.12974,-1.26,23.82,965.13,994.079,-10.96
0.663313,-2.12975,-1.27,23.96,965.29,994.58,-10.74
0.663298,-2.12975,-1.27,23.82,963.82,992.769,-10.455
0.6633,-2.12976,-1.24,23.69,965.2,993.833,-10.24
0.663298,-2.12976,-0.5,23.56,965.95,994.27,-10.285
0.663296,-2.12976,0.09,23.56,966.15,994.47,-10.91
0.663294,-2.12977,0.32,23.42,966.49,994.475,-11.06
0.663294,-2.12977,0.43,23.01,967.48,994.493,-10.8
0.663277,-2.12976,0.86,22.45,972.62,998.334,-10.52
0.663276,-2.12977,0.73,21.58,974.34,998.1,-10.115
0.663273,-2.12977,1.16,20.52,976.25,997.733,-9.52
0.663264,-2.12977,0.99,19.07,985.65,1004.2,-9.01
0.663257,-2.12975,0.8,19.4,993.86,1013.06,-9.33
0.663254,-2.12975,0.61,19.72,994.06,1013.9,-9.945
0.663252,-2.12975,-0.07,20.2,994.73,1015.55,-10.435
0.66325,-2.12975,-1.01,20.52,996.05,1017.53,-10.325
0.663248,-2.12974,-1.65,20.52,998.05,1019.53,-9.97
0.663246,-2.12974,-1.89,20.36,1000.41,1021.56,-9.55
0.663244,-2.12973,-1.79,20.2,1002.74,1023.56,-9.385
0.663242,-2.12973,-1.46,19.88,1004.79,1024.95,-9.24
0.66324,-2.12973,-0.99,19.72,1006.39,1026.23,-9.17
0.663238,-2.12972,-0.5,19.56,1007.43,1026.95,-9.24
0.663236,-2.12972,-0.07,19.4,1007.92,1027.12,-9.36
0.663234,-2.12972,0.3,19.4,1007.9,1027.1,-9.485
0.663232,-2.12971,0.52,19.4,1007.47,1026.67,-9.635
0.66323,-2.12971,0.65,19.4,1006.77,1025.97,-9.725
0.663228,-2.12971,0.72,19.56,1005.85,1025.37,-9.93
0.663225,-2.1297,0.74,19.56,1004.84,1024.36,-9.935
0.663223,-2.1297,0.74,19.72,1003.88,1023.72,-9.945
0.663221,-2.1297,0.64,19.88,1003.02,1023.18,-10.1
0.663219,-2.12969,0.45,19.88,1002.38,1022.54,-10.16
